OldField,NewField,Shown,Language,Mapping
v_verbatimdepth,v_verbatimdepth,,DBSCHEMA,TEXT
"v_minimumdistanceabovesurfaceinmeters","v_minimumdistanceabovesurfaceinmeters",,DBSCHEMA,TEXT
"v_maximumdistanceabovesurfaceinmeters","v_maximumdistanceabovesurfaceinmeters",,DBSCHEMA,TEXT
v_locationaccordingto,v_locationaccordingto,,DBSCHEMA,TEXT
v_locationremarks,v_locationremarks,,DBSCHEMA,TEXT
v_decimallatitude,v_decimallatitude,,DBSCHEMA,DECIMAL
v_decimallongitude,v_decimallongitude,,DBSCHEMA,DECIMAL
v_geodeticdatum,v_geodeticdatum,,DBSCHEMA,TEXT
"v_coordinateuncertaintyinmeters","v_coordinateuncertaintyinmeters",,DBSCHEMA,DECIMAL
v_coordinateprecision,v_coordinateprecision,,DBSCHEMA,DECIMAL
v_pointradiusspatialfit,v_pointradiusspatialfit,,DBSCHEMA,TEXT
v_verbatimcoordinates,v_verbatimcoordinates,,DBSCHEMA,TEXT
v_verbatimlatitude,v_verbatimlatitude,,DBSCHEMA,DECIMAL
v_verbatimlongitude,v_verbatimlongitude,,DBSCHEMA,DECIMAL
"v_verbatimcoordinatesystem","v_verbatimcoordinatesystem",,DBSCHEMA,TEXT
v_verbatimsrs,v_verbatimsrs,,DBSCHEMA,TEXT
v_footprintwkt,v_footprintwkt,,DBSCHEMA,TEXT
v_footprintsrs,v_footprintsrs,,DBSCHEMA,TEXT
v_footprintspatialfit,v_footprintspatialfit,,DBSCHEMA,TEXT
v_georeferencedby,v_georeferencedby,,DBSCHEMA,TEXT
v_georeferenceddate,v_georeferenceddate,,DBSCHEMA,TEXT
v_georeferenceprotocol,v_georeferenceprotocol,,DBSCHEMA,TEXT
v_georeferencesources,v_georeferencesources,,DBSCHEMA,TEXT
"v_georeferenceverificationstatus","v_georeferenceverificationstatus",,DBSCHEMA,TEXT
v_georeferenceremarks,v_georeferenceremarks,,DBSCHEMA,TEXT
v_geologicalcontextid,v_geologicalcontextid,,DBSCHEMA,TEXT
"v_earliesteonorlowesteonothem","v_earliesteonorlowesteonothem",,DBSCHEMA,TEXT
"v_latesteonorhighesteonothem","v_latesteonorhighesteonothem",,DBSCHEMA,TEXT
"v_earliesteraorlowesterathem","v_earliesteraorlowesterathem",,DBSCHEMA,TEXT
"v_latesteraorhighesterathem","v_latesteraorhighesterathem",,DBSCHEMA,TEXT
"v_earliestperiodorlowestsystem","v_earliestperiodorlowestsystem",,DBSCHEMA,TEXT
"v_latestperiodorhighestsystem","v_latestperiodorhighestsystem",,DBSCHEMA,TEXT
"v_earliestepochorlowestseries","v_earliestepochorlowestseries",,DBSCHEMA,TEXT
"v_latestepochorhighestseries","v_latestepochorhighestseries",,DBSCHEMA,TEXT
"v_earliestageorloweststage","v_earliestageorloweststage",,DBSCHEMA,TEXT
"v_latestageorhigheststage","v_latestageorhigheststage",,DBSCHEMA,TEXT
"v_lowestbiostratigraphiczone","v_lowestbiostratigraphiczone",,DBSCHEMA,TEXT
"v_highestbiostratigraphiczone","v_highestbiostratigraphiczone",,DBSCHEMA,TEXT
"v_lithostratigraphicterms","v_lithostratigraphicterms",,DBSCHEMA,TEXT
v_group,v_group,,DBSCHEMA,TEXT
v_formation,v_formation,,DBSCHEMA,TEXT
v_member,v_member,,DBSCHEMA,TEXT
v_bed,v_bed,,DBSCHEMA,TEXT
v_identificationid,v_identificationid,,DBSCHEMA,TEXT
"v_identificationqualifier","v_identificationqualifier",,DBSCHEMA,TEXT
v_typestatus,v_typestatus,,DBSCHEMA,TEXT
v_identifiedby,v_identifiedby,,DBSCHEMA,TEXT
v_dateidentified,v_dateidentified,,DBSCHEMA,TEXT
"v_identificationreferences","v_identificationreferences",,DBSCHEMA,TEXT
"v_identificationverificationstatus","v_identificationverificationstatus",,DBSCHEMA,TEXT
v_identificationremarks,v_identificationremarks,,DBSCHEMA,TEXT
v_taxonid,v_taxonid,,DBSCHEMA,TEXT
v_scientificnameid,v_scientificnameid,,DBSCHEMA,TEXT
v_acceptednameusageid,v_acceptednameusageid,,DBSCHEMA,TEXT
v_parentnameusageid,v_parentnameusageid,,DBSCHEMA,TEXT
v_originalnameusageid,v_originalnameusageid,,DBSCHEMA,TEXT
v_nameaccordingtoid,v_nameaccordingtoid,,DBSCHEMA,TEXT
v_namepublishedinid,v_namepublishedinid,,DBSCHEMA,TEXT
v_taxonconceptid,v_taxonconceptid,,DBSCHEMA,TEXT
v_scientificname,v_scientificname,,DBSCHEMA,TEXT
v_acceptednameusage,v_acceptednameusage,,DBSCHEMA,TEXT
v_parentnameusage,v_parentnameusage,,DBSCHEMA,TEXT
v_originalnameusage,v_originalnameusage,,DBSCHEMA,TEXT
v_nameaccordingto,v_nameaccordingto,,DBSCHEMA,TEXT
v_namepublishedin,v_namepublishedin,,DBSCHEMA,TEXT
v_namepublishedinyear,v_namepublishedinyear,,DBSCHEMA,TEXT
v_higherclassification,v_higherclassification,,DBSCHEMA,TEXT
v_kingdom,v_kingdom,,DBSCHEMA,TEXT
v_phylum,v_phylum,,DBSCHEMA,TEXT
v_class,v_class,,DBSCHEMA,TEXT
v_order,v_order,,DBSCHEMA,TEXT
v_family,v_family,,DBSCHEMA,TEXT
v_genus,v_genus,,DBSCHEMA,TEXT
v_subgenus,v_subgenus,,DBSCHEMA,TEXT
v_specificepithet,v_specificepithet,,DBSCHEMA,TEXT
v_infraspecificepithet,v_infraspecificepithet,,DBSCHEMA,TEXT
v_taxonrank,v_taxonrank,,DBSCHEMA,TEXT
v_verbatimtaxonrank,v_verbatimtaxonrank,,DBSCHEMA,TEXT
"v_scientificnameauthorship","v_scientificnameauthorship",,DBSCHEMA,TEXT
v_vernacularname,v_vernacularname,,DBSCHEMA,TEXT
v_nomenclaturalcode,v_nomenclaturalcode,,DBSCHEMA,TEXT
v_taxonomicstatus,v_taxonomicstatus,,DBSCHEMA,TEXT
v_nomenclaturalstatus,v_nomenclaturalstatus,,DBSCHEMA,TEXT
v_taxonremarks,v_taxonremarks,,DBSCHEMA,TEXT
identifiercount,identifiercount,,DBSCHEMA,TEXT
crawlid,crawlid,,DBSCHEMA,INTEGER
fragmentcreated,fragmentcreated,,DBSCHEMA,DECIMAL
xmlschema,xmlschema,,DBSCHEMA,TEXT
publishingorgkey,publishingorgkey,,DBSCHEMA,TEXT
unitqualifier,unitqualifier,,DBSCHEMA,TEXT
"http://purl.org/dc/terms/abstract","http://purl.org/dc/terms/abstract",,DBSCHEMA,TEXT
"http://purl.org/dc/terms/accessRights","http://purl.org/dc/terms/accessRights",,DBSCHEMA,TEXT
"http://purl.org/dc/terms/accrualMethod","http://purl.org/dc/terms/accrualMethod",,DBSCHEMA,TEXT
"http://purl.org/dc/terms/accrualPeriodicity","http://purl.org/dc/terms/accrualPeriodicity",,DBSCHEMA,TEXT
"http://purl.org/dc/terms/accrualPolicy","http://purl.org/dc/terms/accrualPolicy",,DBSCHEMA,TEXT
"http://purl.org/dc/terms/alternative","http://purl.org/dc/terms/alternative",,DBSCHEMA,TEXT
"http://purl.org/dc/terms/audience","http://purl.org/dc/terms/audience",,DBSCHEMA,TEXT
"http://purl.org/dc/terms/available","http://purl.org/dc/terms/available",,DBSCHEMA,TEXT
"http://purl.org/dc/terms/bibliographicCitation","http://purl.org/dc/terms/bibliographicCitation",,DBSCHEMA,TEXT
"http://purl.org/dc/terms/conformsTo","http://purl.org/dc/terms/conformsTo",,DBSCHEMA,TEXT
"http://purl.org/dc/terms/contributor","http://purl.org/dc/terms/contributor",,DBSCHEMA,TEXT
"http://purl.org/dc/terms/coverage","http://purl.org/dc/terms/coverage",,DBSCHEMA,TEXT
"http://purl.org/dc/terms/created","http://purl.org/dc/terms/created",,DBSCHEMA,TEXT
"http://purl.org/dc/terms/creator","http://purl.org/dc/terms/creator",,DBSCHEMA,TEXT
date_,date_,,DBSCHEMA,TEXT
"http://purl.org/dc/terms/dateAccepted","http://purl.org/dc/terms/dateAccepted",,DBSCHEMA,TEXT
"http://purl.org/dc/terms/dateCopyrighted","http://purl.org/dc/terms/dateCopyrighted",,DBSCHEMA,TEXT
"http://purl.org/dc/terms/dateSubmitted","http://purl.org/dc/terms/dateSubmitted",,DBSCHEMA,TEXT
"http://purl.org/dc/terms/description","http://purl.org/dc/terms/description",,DBSCHEMA,TEXT
"http://purl.org/dc/terms/educationLevel","http://purl.org/dc/terms/educationLevel",,DBSCHEMA,TEXT
"http://purl.org/dc/terms/extent","http://purl.org/dc/terms/extent",,DBSCHEMA,TEXT
format_,format_,,DBSCHEMA,TEXT
"http://purl.org/dc/terms/hasFormat","http://purl.org/dc/terms/hasFormat",,DBSCHEMA,TEXT
"http://purl.org/dc/terms/hasPart","http://purl.org/dc/terms/hasPart",,DBSCHEMA,TEXT
"http://purl.org/dc/terms/hasVersion","http://purl.org/dc/terms/hasVersion",,DBSCHEMA,TEXT
"http://purl.org/dc/terms/identifier","http://purl.org/dc/terms/identifier",,DBSCHEMA,TEXT
"http://purl.org/dc/terms/instructionalMethod","http://purl.org/dc/terms/instructionalMethod",,DBSCHEMA,TEXT
"http://purl.org/dc/terms/isFormatOf","http://purl.org/dc/terms/isFormatOf",,DBSCHEMA,TEXT
"http://purl.org/dc/terms/isPartOf","http://purl.org/dc/terms/isPartOf",,DBSCHEMA,TEXT
"http://purl.org/dc/terms/isReferencedBy","http://purl.org/dc/terms/isReferencedBy",,DBSCHEMA,TEXT
"http://purl.org/dc/terms/isReplacedBy","http://purl.org/dc/terms/isReplacedBy",,DBSCHEMA,TEXT
"http://purl.org/dc/terms/isRequiredBy","http://purl.org/dc/terms/isRequiredBy",,DBSCHEMA,TEXT
"http://purl.org/dc/terms/isVersionOf","http://purl.org/dc/terms/isVersionOf",,DBSCHEMA,TEXT
"http://purl.org/dc/terms/issued","http://purl.org/dc/terms/issued",,DBSCHEMA,TEXT
"http://purl.org/dc/terms/language","http://purl.org/dc/terms/language",,DBSCHEMA,TEXT
"http://purl.org/dc/terms/license","http://purl.org/dc/terms/license",,DBSCHEMA,TEXT
"http://purl.org/dc/terms/mediator","http://purl.org/dc/terms/mediator",,DBSCHEMA,TEXT
"http://purl.org/dc/terms/medium","http://purl.org/dc/terms/medium",,DBSCHEMA,TEXT
"http://purl.org/dc/terms/modified","http://purl.org/dc/terms/modified",,DBSCHEMA,DECIMAL
"http://purl.org/dc/terms/provenance","http://purl.org/dc/terms/provenance",,DBSCHEMA,TEXT
"http://purl.org/dc/terms/publisher","http://purl.org/dc/terms/publisher",,DBSCHEMA,TEXT
"http://purl.org/dc/terms/references","http://purl.org/dc/terms/references",,DBSCHEMA,TEXT
"http://purl.org/dc/terms/relation","http://purl.org/dc/terms/relation",,DBSCHEMA,TEXT
"http://purl.org/dc/terms/replaces","http://purl.org/dc/terms/replaces",,DBSCHEMA,TEXT
"http://purl.org/dc/terms/requires","http://purl.org/dc/terms/requires",,DBSCHEMA,TEXT
"http://purl.org/dc/terms/rights","http://purl.org/dc/terms/rights",,DBSCHEMA,TEXT
"http://purl.org/dc/terms/rightsHolder","http://purl.org/dc/terms/rightsHolder",,DBSCHEMA,TEXT
"http://purl.org/dc/terms/source","http://purl.org/dc/terms/source",,DBSCHEMA,TEXT
"http://purl.org/dc/terms/spatial","http://purl.org/dc/terms/spatial",,DBSCHEMA,TEXT
"http://purl.org/dc/terms/subject","http://purl.org/dc/terms/subject",,DBSCHEMA,TEXT
"http://purl.org/dc/terms/tableOfContents","http://purl.org/dc/terms/tableOfContents",,DBSCHEMA,TEXT
"http://purl.org/dc/terms/temporal","http://purl.org/dc/terms/temporal",,DBSCHEMA,TEXT
"http://purl.org/dc/terms/title","http://purl.org/dc/terms/title",,DBSCHEMA,TEXT
"http://purl.org/dc/terms/type","http://purl.org/dc/terms/type",,DBSCHEMA,TEXT
"http://purl.org/dc/terms/valid","http://purl.org/dc/terms/valid",,DBSCHEMA,TEXT
