OldField,NewField,Shown,Language,Mapping
"Decimal latitude/longitude conversion failed","Decimal latitude/longitude conversion failed",,DBSCHEMA,INTEGER
"http://rs.tdwg.org/dwc/terms/decimalLatitude","http://rs.tdwg.org/dwc/terms/decimalLatitude",,DBSCHEMA,DECIMAL
"http://rs.tdwg.org/dwc/terms/decimalLongitude","http://rs.tdwg.org/dwc/terms/decimalLongitude",,DBSCHEMA,DECIMAL
"Depth out of range","Depth out of range",,DBSCHEMA,INTEGER
"Depth value non-numeric","Depth value non-numeric",,DBSCHEMA,INTEGER
"Depth value supplied in feet","Depth value supplied in feet",,DBSCHEMA,INTEGER
"http://rs.tdwg.org/dwc/terms/establishmentMeans","http://rs.tdwg.org/dwc/terms/establishmentMeans",,DBSCHEMA,TEXT
"http://rs.tdwg.org/dwc/terms/eventDate","http://rs.tdwg.org/dwc/terms/eventDate",,DBSCHEMA,TEXT
"http://rs.tdwg.org/dwc/terms/eventID","http://rs.tdwg.org/dwc/terms/eventID",,DBSCHEMA,TEXT
"http://rs.tdwg.org/dwc/terms/eventRemarks","http://rs.tdwg.org/dwc/terms/eventRemarks",,DBSCHEMA,TEXT
"http://rs.tdwg.org/dwc/terms/family","http://rs.tdwg.org/dwc/terms/family",,DBSCHEMA,TEXT
"http://rs.tdwg.org/dwc/terms/fieldNumber","http://rs.tdwg.org/dwc/terms/fieldNumber",,DBSCHEMA,TEXT
"First of the century","First of the century",,DBSCHEMA,INTEGER
"First of the month","First of the month",,DBSCHEMA,INTEGER
"First of the year","First of the year",,DBSCHEMA,INTEGER
"http://rs.tdwg.org/dwc/terms/footprintSRS","http://rs.tdwg.org/dwc/terms/footprintSRS",,DBSCHEMA,TEXT
"http://rs.tdwg.org/dwc/terms/footprintWKT","http://rs.tdwg.org/dwc/terms/footprintWKT",,DBSCHEMA,TEXT
FOREIGN_ID,FOREIGN_ID,,DBSCHEMA,TEXT
frequency,frequency,,DBSCHEMA,TEXT
"http://rs.tdwg.org/dwc/terms/genus","http://rs.tdwg.org/dwc/terms/genus",,DBSCHEMA,TEXT
"Geodetic datum assumed WGS84","Geodetic datum assumed WGS84",,DBSCHEMA,INTEGER
"http://rs.tdwg.org/dwc/terms/geodeticDatum","http://rs.tdwg.org/dwc/terms/geodeticDatum",,DBSCHEMA,TEXT
"Georeferenced after occurrence date","Georeferenced after occurrence date",,DBSCHEMA,INTEGER
"http://rs.tdwg.org/dwc/terms/georeferenceRemarks","http://rs.tdwg.org/dwc/terms/georeferenceRemarks",,DBSCHEMA,TEXT
"Geospatial issue","Geospatial issue",,DBSCHEMA,INTEGER
"http://rs.tdwg.org/dwc/terms/habitat","http://rs.tdwg.org/dwc/terms/habitat",,DBSCHEMA,TEXT
"Habitat incorrect for species","Habitat incorrect for species",,DBSCHEMA,INTEGER
"Higher taxonomy missing","Higher taxonomy missing",,DBSCHEMA,INTEGER
"Homonym issues with supplied name","Homonym issues with supplied name",,DBSCHEMA,INTEGER
ibraSubregion,ibraSubregion,,DBSCHEMA,TEXT
"Identification date before occurrence date","Identification date before occurrence date",,DBSCHEMA,INTEGER
"http://rs.tdwg.org/dwc/terms/identificationID","http://rs.tdwg.org/dwc/terms/identificationID",,DBSCHEMA,TEXT
"http://rs.tdwg.org/dwc/terms/identificationQualifier","http://rs.tdwg.org/dwc/terms/identificationQualifier",,DBSCHEMA,TEXT
"http://rs.tdwg.org/dwc/terms/identificationRemarks","http://rs.tdwg.org/dwc/terms/identificationRemarks",,DBSCHEMA,TEXT
"http://rs.tdwg.org/dwc/terms/identificationVerificationStatus","http://rs.tdwg.org/dwc/terms/identificationVerificationStatus",,DBSCHEMA,TEXT
"Image URL invalid","Image URL invalid",,DBSCHEMA,INTEGER
"Incomplete collection date","Incomplete collection date",,DBSCHEMA,INTEGER
"http://rs.tdwg.org/dwc/terms/individualCount","http://rs.tdwg.org/dwc/terms/individualCount",,DBSCHEMA,TEXT
"http://rs.tdwg.org/dwc/terms/infraspecificEpithet","http://rs.tdwg.org/dwc/terms/infraspecificEpithet",,DBSCHEMA,TEXT
"Institution code not recognised","Institution code not recognised",,DBSCHEMA,INTEGER
"http://rs.tdwg.org/dwc/terms/institutionCode","http://rs.tdwg.org/dwc/terms/institutionCode",,DBSCHEMA,TEXT
"Invalid collection date","Invalid collection date",,DBSCHEMA,INTEGER
